City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
317,Tacuarembo,UY,-31.7333,-55.9833,61.21,75,99,5.23,overcast clouds
318,Bathsheba,BB,13.2167,-59.5167,92.01,58,40,13.8,scattered clouds
319,Halifax,CA,44.6453,-63.5724,75.52,72,75,4.0,broken clouds
320,Edea,CM,3.8,10.1333,78.58,97,98,1.9,overcast clouds
321,Niono,ML,14.2526,-5.993,95.34,34,50,7.02,scattered clouds
322,Gilgit,PK,35.9221,74.3087,76.75,46,17,3.47,few clouds
323,Ibra,OM,22.6906,58.5334,91.29,38,96,11.14,overcast clouds
324,Alenquer,BR,-1.9417,-54.7383,91.74,33,13,6.69,few clouds
325,Rorvik,NO,64.8621,11.2373,48.31,87,75,6.91,broken clouds
326,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,62,43,8.43,scattered clouds
327,El Alto,PE,-4.2714,-81.2147,71.26,67,20,12.77,few clouds
328,Yar-Sale,RU,66.8333,70.8333,40.33,77,100,13.4,overcast clouds
329,Shakiso,ET,5.75,38.9167,60.35,91,80,2.82,light rain
330,Iisalmi,FI,63.5592,27.1907,44.62,87,98,13.27,overcast clouds
331,Mahe,IN,11.7,75.5333,77.61,87,90,6.87,overcast clouds
332,Talara,PE,-4.5772,-81.2719,74.16,64,0,11.5,clear sky
333,Saint-Leu,RE,-21.15,55.2833,70.63,73,68,4.18,broken clouds
334,Kindberg,AT,47.5,15.45,60.31,82,47,3.06,scattered clouds
335,Pandamatenga,BW,-18.5278,25.627,76.17,28,34,6.51,scattered clouds
336,Besikduzu,TR,41.052,39.2284,62.49,95,100,10.54,moderate rain
337,Bonthe,SL,7.5264,-12.505,82.36,72,86,8.48,overcast clouds
338,Abu Zabad,SD,12.35,29.25,85.33,52,54,9.73,broken clouds
